NumJ;NomJ;PrenomJ;DateNaissJ;NumLicJ;CodeEquipe
100;MARECHAL;Jacques;28/10/1982;9267034117;E10
101;MASSELIN;André;06/06/1975;5390504457;E6
102;MASSON;Joël;22/04/1976;8899736825;E17
103;MEJEAN;Jacques;02/02/1971;1208063991;E8
104;MIGRAINE;Jacques;20/02/1974;3124650721;E20
105;MOLLON;Jean;22/04/1976;4405443049;E22
106;MONIER;Bernard;23/11/1977;8012523891;E3
107;MORLIN;Guy;14/02/1983;9122811682;E7
108;MOUCHARAT;Jean-Claude;27/09/1981;6059965993;E3
109;MOULARD;André;10/04/1979;9953077256;E3
110;MYARD;André;08/02/1977;4636027059;E12
111;NAACKE;Philippe;12/06/1981;9832311817;E3
112;NOURRISSON;Brigitte;07/01/1976;1930194461;E4
113;OLLIVIER;Franck;27/09/1981;7107684996;E5
114;PAGNAN;Albert;16/04/1970;2706294236;E6
115;PARANT;Daniel;06/12/1975;7904418855;E19
116;PARRA;Michel;05/11/1974;3145994735;E20
117;PASCA;Jean;19/07/1973;5247926734;E20
118;PAULIGNAN;Martine;11/05/1980;5240138538;E22
119;PEDARRE;Michel;19/07/1973;8412537400;E12
120;PEREZ;Martin;25/07/1979;5441630538;E15
121;PERRET;Olivier;01/01/1970;5549494314;E7
122;PERRET;Richard;03/03/1972;9160541820;E22
123;PETIT;Nicolas;02/02/1971;4427313422;E17
124;PEYRARD;Yves;30/12/1984;5334170881;E17
125;PHILIBERT;Georges;21/03/1975;6624998759;E10
126;PIALLAT;René;06/06/1975;7035004250;E24
127;PLANCHET;Marcel;06/06/1975;8901300065;E15
128;POIROT;Georges;01/07/1970;5320861385;E19
129;POULALIER;Paul;03/03/1972;1477564890;E19
130;POYET;Noel;09/03/1978;6480900902;E23
131;PREBET;Danielle;09/09/1978;6283891598;E5
132;PREBET;Gérard;20/08/1974;4753918268;E6
133;PREYNAT;Jean louis;13/07/1982;9115687879;E24
134;PREYNAT;Maurice;15/03/1984;3785832762;E10
135;RABEYRIN;Richard;16/10/1970;8301013634;E1
136;RANCHON;Bernard;11/11/1980;6287320605;E23
137;RANCHON;Jean-François;10/10/1979;4837398970;E2
138;RASCLE;Pierre;24/12/1978;6487555509;E6
139;RAYMOND;Serge;23/05/1977;6056133143;E6
140;REMILLIEUX;Jacques;27/03/1981;3676388692;E11
141;RENAUD;Jacques;08/08/1977;2058192146;E3
142;RICCOBENE;Maxime;27/03/1981;8038967047;E2
143;RIFELDE;Robert;15/09/1984;4578612266;E11
144;ROBERT;Denis;11/05/1980;4602963164;E5
145;ROLHION;Daniel;12/12/1981;4816300240;E7
146;SAVOLDELLI;René;03/09/1972;5471537711;E4
147;SCHREIBER;Robert;17/11/1971;8567175752;E19
148;SCILY;Gérard;16/04/1970;5897253946;E17
149;SELLIER;Laurent;09/09/1978;3696525495;E23
150;SOLA;Albert;07/07/1976;4584663668;E10
151;SOULAS;Gérard;16/10/1970;5621270166;E12
152;SOULIER;Daniel;23/11/1977;9988395165;E15
153;SUCHAUT;Antoine;11/05/1980;5516956642;E9
154;SUCHAUT;Thierry;11/05/1980;4916004100;E4
155;TABART;Gabriel;29/11/1983;4089496660;E1
156;TEYSSIER;Serge;05/05/1974;6406878418;E3
157;TISSOT;Roger;19/07/1973;5757981544;E14
158;TIXIER;Georges;10/04/1979;7143492558;E18
159;TRAN;Charly;11/05/1980;8753149059;E2
160;TRAN;Auguste;16/10/1970;6392991940;E7
161;TRIOMPHE;Jérémy;09/03/1978;9472042185;E17
162;VALLAT;Daniel;18/12/1972;7085153078;E5
163;VAUX;Roland;29/05/1983;9788953727;E20
164;VILLARD;Marc;10/10/1979;2707953508;E6
165;VIVIAND;Louis;27/03/1981;1131332589;E4
166;WISNIEWSKI;Romain;23/11/1977;9185944706;E8
167;ZAPOTOCKY;Jean;15/09/1984;5333775982;E2
168;ZUDDAS;Pierre;18/04/1980;3931918364;E4
